Pattern	Concise definition	Typical observable behaviors	Psychological function + short-term benefits	Long-term costs/harms	Typical origins/etiology (developmental, attachment, cognitive)	Prevalence / population notes	Strength of evidence + key references	Evidence-based interventions (brief; support level)
Avoidance coping / experiential avoidance (incl. procrastination)	Reducing distress by escaping triggers (situations, sensations, tasks, emotions).	Procrastination; canceling/withdrawing; “numbing” via screens/substances; conflict avoidance.	Fn: immediate anxiety relief, preserves perceived safety/control. ST: lowers arousal quickly.	Reinforces fear; reduced mastery; narrowed life; depression-maintaining inactivity.	Learning history of negative reinforcement; threat sensitization; low tolerance for affect; anxiety/depression cycles.	Procrastination is extremely common in students (estimates 80–95%); adult chronic procrastination often ~20% in survey work.	Strong (avoidance in anxiety maintenance; transdiagnostic models).	CBT exposure/behavioral experiments (strong for anxiety). ACT (psychological flexibility; strong/moderate overall). Behavioral activation for avoidance/inactivity (strong for depression).
Safety behaviors & compulsive checking / reassurance seeking	Behaviors used to prevent feared outcomes or reduce doubt (often anxiety/OCD).	Checking, “just in case” rituals; reassurance questions; avoidance plus “protective” props; scanning body/symptoms.	Fn: reduces uncertainty, transfers responsibility, prevents feared catastrophe. ST: rapid relief.	Maintains threat beliefs; increases dependence; relationship strain; can generalize into broader control rituals.	Intolerance of uncertainty; inflated responsibility; learning via relief; anxious attachment in interpersonal reassurance.	Common across anxiety/OCD; exact prevalence varies by measure; interpersonal reassurance seeking noted across OCD/depression/anxiety.	Moderate–strong (conceptual and empirical support; meta-analytic debate on whether to fully remove safety behaviors during exposure).	Exposure with response prevention / exposure-based CBT (strong). Inhibitory-learning-informed exposure with strategic fading of safety behaviors (moderate; nuanced).
Rumination (brooding)	Repetitive dwelling on negative mood, causes, meaning, or self-evaluation.	“Replay” conversations; circular analysis; difficulty disengaging; sleep disruption.	Fn: attempts to solve/understand; signal importance; avoids action/uncertainty. ST: sense of control/meaning.	Predicts/maintains depression and anxiety; impairs sleep and problem-solving; social withdrawal.	Learned cognitive habit; self-criticism; trauma shame; metacognitive beliefs (“I must think this through”).	Transdiagnostic and common in both clinical and nonclinical samples.	Strong (meta-analytic links to anxiety/depression; RNT as transdiagnostic construct).	CBT targeting RNT (moderate–strong). MBCT for relapse prevention (strong for recurrent depression). Rumination-focused CBT (emerging–moderate).
Worry (future-focused repetitive negative thinking)	Persistent verbal thinking about possible future threats/uncertainty.	Excessive “what if” planning; reassurance seeking; over-preparing; sleep-onset delay.	Fn: threat simulation; prepares/avoids regret. ST: sense of preparedness.	Maintains anxiety; perpetuates intolerance of uncertainty; reduces present-moment engagement.	Trait vulnerability (neuroticism), IU beliefs, learned safety strategy.	Common across anxiety and mixed emotional disorder samples.	Strong (RNT framework; transdiagnostic evidence).	CBT for worry/RNT (strong/moderate; transdiagnostic meta). ACT for worry via acceptance/defusion (moderate–strong).
Catastrophizing / threat amplification	Overestimating probability/cost of negative outcomes; interpreting sensations/events as dangerous.	Worst-case predictions; urgency; avoidance; amplified pain-related distress.	Fn: motivates protective action; reduces ambiguity. ST: “at least I’m prepared.”	Anxiety escalation; functional impairment; chronic pain disability links in pain literature.	Learned from adverse events; modeling; cognitive schemas; hyperarousal.	Prominent in pain and anxiety samples; varies widely by context and measurement.	Moderate–strong (pain catastrophizing evidence strong; broader cognitive bias predictive effects smaller but present).	CBT cognitive restructuring + exposure/behavioral experiments (strong for anxiety; moderate for pain contexts). Acceptance-based approaches in pain (moderate).
Dichotomous thinking / all-or-nothing	Rigid “either/or” evaluation (success/failure; good/bad).	“If not perfect, worthless”; relapse -> “blown it”; extreme standards; moralized self-judgment.	Fn: reduces ambiguity; simplifies decisions; protects identity via certainty. ST: clarity/decisiveness.	Emotional volatility; binge-restrict cycles in eating/behavior change contexts; relationship polarization.	Trait cognitive style; perfectionism; shame conditioning; social evaluation sensitivity.	Scoping work suggests broad relevance; direct prevalence estimates are uncommon.	Emerging–moderate (construct widely used; measurement and causal evidence uneven).	CBT cognitive restructuring; behavioral experiments; graded exposure to “good enough” (moderate).
Interpretation & attribution biases (mind-reading/projection)	Systematic bias to interpret ambiguity as threat/rejection or to infer others’ negative intent.	“They think I’m incompetent”; hostile attribution; selective recall; post-event processing.	Fn: early warning; social threat detection. ST: feels protective/realistic.	Social avoidance, conflict escalation, loneliness; self-fulfilling prophecies via defensive behavior.	Attachment insecurity; trauma; learned social threat expectancies; cognitive schemas.	Present across anxiety/depression; prospective meta effects are small but reliable.	Moderate (meta-analytic support for interpretation bias; smaller longitudinal prediction).	CBT cognitive restructuring; social experiments; some cognitive bias modification variants (moderate).
Self-criticism / punitive inner stance	Persistent harsh self-evaluation and self-attacking standards.	“Inner critic” self-talk; self-punishment; discounting success; high shame reactivity.	Fn: error prevention, social rank protection; motivates effort via threat. ST: temporary drive/avoidance of rejection.	Predicts poorer psychotherapy outcomes; linked to multiple symptom domains and interpersonal problems.	Developmental criticism/conditional acceptance; insecure attachment; perfectionism schemas.	Particularly salient in eating disorders and clinical samples; cross-diagnostic associations documented.	Strong (systematic evidence on outcome prediction; change mechanisms).	Compassion-focused therapy reduces self-criticism (moderate; meta suggests benefit but quality limits). Self-compassion-related interventions reduce self-criticism (moderate; meta).
Shame / self-blame (incl. trauma-related shame)	Global negative self-evaluation (“I am bad”) often tied to moral/social threat.	Concealment; withdrawal; anger/defensiveness; compulsive repair or avoidance.	Fn: signals social danger; attempts to prevent rejection; promotes appeasement. ST: reduces exposure risk.	Strong links to broad psychopathology and depression; inhibits disclosure and help-seeking.	Trauma, chronic criticism, stigmatization; cultural norms around honor/conformity.	Trauma-related shame shows moderate associations with psychopathology in meta-analysis.	Strong for association; intervention evidence moderate.	Trauma-focused CBT and related therapies reduce PTSD symptoms (strong). CFT targets shame/self-criticism (emerging–moderate).
Perfectionism (clinical perfectionism / concern over mistakes)	Inflexible high standards with self-worth contingent on achievement.	Overpreparing; checking; avoidance/procrastination; intolerance of “good enough.”	Fn: reduces failure risk; secures approval/status. ST: perceived competence/control.	Burnout, anxiety, depression; treatment resistance; relationship strain.	Conditional acceptance; performance cultures; cognitive rigidity; self-criticism.	Transdiagnostic risk and maintenance factor across disorders in meta-analytic work.	Strong (transdiagnostic links + intervention meta-analyses).	CBT for perfectionism reduces perfectionism and symptoms (moderate–strong). Self-compassion interventions may reduce perfectionistic self-attack (emerging–moderate).
